order_id,restaurant_id,zone,order_time,promised_delivery_time,actual_delivery_time,courier_id,distance_km,payment_type,order_value,customer_phone,order_status
102100,R98,Maadi,2026-01-01 07:07:00,2026-01-01 07:44:39.095928,2026-01-01 07:46:20.325325,C1012,5.2,wallet,400.84,01527179296,delivered
101824,R39,Nasr City,2026-01-01 07:26:00,2026-01-01 07:52:15.998043,,,7.0,wallet,371.72,01005953802,cancelled
102951,R34,Zamalek,2026-01-01 07:41:00,2026-01-01 08:16:14.934828,2026-01-01 08:14:09.808786,C1133,4.2,card,406.6,01158942792,delivered
100374,R37,Maadi,2026-01-01 08:17:00,2026-01-01 08:55:36.051790,2026-01-01 08:53:53.567993,C1167,8.1,cash,131.44,01217170462,delivered
102706,R42,Maadi,2026-01-01 08:33:00,2026-01-01 09:40:09.447062,2026-01-01 09:35:51.600789,C1059,11.6,cash,165.48,01582765315,delivered
100599,R28,Nasr City,2026-01-01 08:51:00,2026-01-01 09:50:05.106722,2026-01-01 09:47:12.387107,C1181,11.6,cash,275.7,01133300724,delivered
101142,R67,Heliopolis,2026-01-01 09:19:00,2026-01-01 09:44:12.111128,2026-01-01 09:39:29.266444,C1157,1.7,cash,415.64,01233123831,delivered
102317,R116,El Maadi,2026-01-01 09:55:00,2026-01-01 10:49:37.167988,,C1025,10.5,cash,377.29,01142512475,cancelled
101159,R133,Zamalek,2026-01-01 09:57:00,2026-01-01 10:34:49.972723,2026-01-01 10:36:26.616749,C1044,10.4,wallet,258.31,01030583637,delivered
101089,R97,Zamalek,2026-01-01 10:03:00,2026-01-01 10:41:28.235874,2026-01-01 10:45:31.665825,C1136,9.5,card,99.59,1294154545,delivered
101450,R44,Maadi,2026-01-01 10:20:00,2026-01-01 11:08:59.139878,2026-01-01 11:05:33.547595,C1115,8.2,cash,292.16,01133367732,delivered
102557,R24,Maadi,2026-01-01 10:30:00,2026-01-01 10:44:50.154101,2026-01-01 10:46:55.992481,C1189,2.1,wallet,117.25,01169052362,delivered
102973,R124,Dokki,2026-01-01 11:02:00,2026-01-01 11:41:26.704308,2026-01-01 11:41:40.859450,C1161,10.1,wallet,79.05,012-6787-5597,delivered
